R_Priority,FP,Complexity,Time,Cost,Class
92,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
129,4,-0.022891673301040322,0.4165197054010837,0.5769892137744156,1
173,2,1.1977514223963737,-1.249559116203251,0.2331380987962715,2
95,3,-1.2435347689984542,1.249559116203251,-0.6264896886490887,0
112,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
131,1,1.1977514223963737,-2.0825985270054184,-0.6264896886490887,2
103,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
157,4,-1.2435347689984542,-0.8330394108021674,-1.0563035823717688,0
88,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
94,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
187,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
177,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
38,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
80,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
118,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
56,1,1.1977514223963737,-2.0825985270054184,-0.6264896886490887,2
97,3,-1.2435347689984542,-0.8330394108021674,-1.0563035823717688,0
168,1,-0.022891673301040322,-1.249559116203251,-0.45456413116001665,2
153,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
71,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
98,1,1.1977514223963737,-2.0825985270054184,-0.6264896886490887,2
129,3,-1.2435347689984542,0.4165197054010837,-0.7984152461381607,0
112,2,-1.2435347689984542,1.249559116203251,-0.6264896886490887,0
184,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
146,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
142,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
120,3,1.1977514223963737,1.249559116203251,2.812021461132352,1
195,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
47,1,-1.2435347689984542,-2.0825985270054184,-1.3141919186053768,2
129,1,1.1977514223963737,-1.6660788216043347,-0.5650877038315629,2
197,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
213,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
104,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
144,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
72,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
103,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
83,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
57,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
201,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
182,4,-0.022891673301040322,0.4165197054010837,0.5769892137744156,1
51,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
49,3,-1.2435347689984542,-0.8330394108021674,-1.0563035823717688,0
149,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
164,4,-0.022891673301040322,0.4165197054010837,0.5769892137744156,1
98,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
230,3,1.1977514223963737,0.4165197054010837,1.9523936736869918,1
164,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
11,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
86,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
137,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
122,2,1.1977514223963737,-0.4165197054010837,1.0927658862416316,1
186,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
35,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
