R_Priority,FP,Complexity,Time,Cost,Class
62,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
165,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
131,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
71,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
38,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
87,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
153,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
151,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
56,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
151,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
114,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
69,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
94,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
51,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
156,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
226,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
139,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
113,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
75,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
95,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
148,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
62,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
164,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
124,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
172,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
125,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
131,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
219,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
180,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
98,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
196,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
130,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
64,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
101,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
15,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
132,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
105,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
90,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
100,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
172,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
101,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
87,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
89,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
120,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
178,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
18,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
154,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
80,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
188,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
112,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
143,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
106,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
146,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
160,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
147,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
109,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
123,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
172,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
156,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
186,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
147,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
117,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
115,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
30,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
111,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
109,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
96,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
95,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
144,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
92,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
104,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
174,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
125,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
143,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
116,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
90,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
126,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
77,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
104,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
175,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
138,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
115,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
156,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
155,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
134,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
95,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
228,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
135,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
111,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
129,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
45,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
24,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
196,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
88,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
121,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
62,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
93,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
148,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
55,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
168,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
91,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
157,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
167,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
165,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
146,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
120,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
160,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
163,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
79,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
101,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
97,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
153,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
107,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
111,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
174,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
98,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
119,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
113,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
131,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
91,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
139,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
3,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
110,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
50,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
106,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
51,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
151,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
126,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
88,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
166,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
141,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
64,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
131,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
130,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
144,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
57,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
208,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
166,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
181,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
118,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
183,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
111,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
60,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
150,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
99,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
76,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
193,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
141,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
114,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
137,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
139,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
124,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
116,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
81,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
237,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
135,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
167,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
89,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
180,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
234,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
70,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
138,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
70,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
125,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
196,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
96,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
200,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
118,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
168,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
122,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
89,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
119,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
154,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
102,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
199,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
167,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
135,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
122,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
35,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
154,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
137,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
131,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
141,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
170,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
112,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
104,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
204,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
110,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
135,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
52,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
192,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
139,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
129,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
108,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
83,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
75,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
104,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
153,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
182,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
123,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
145,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
68,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
141,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
92,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
188,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
91,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
103,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
68,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
88,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
180,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
161,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
208,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
47,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
112,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
62,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
71,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
173,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
29,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
137,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
144,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
135,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
175,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
51,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
72,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
108,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
131,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
141,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
98,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
167,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
109,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
86,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
153,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
110,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
80,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
113,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
85,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
106,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
59,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
136,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
142,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
156,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
117,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
13,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
135,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
69,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
128,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
92,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
8,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
229,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
89,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
75,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
235,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
144,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
198,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
181,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
13,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
77,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
150,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
198,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
94,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
139,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
211,3,-1.2435347689984542,0.4165197054010837,-0.994901597554243,0
111,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
99,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
88,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
96,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
126,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
162,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
57,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
123,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
105,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
109,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
115,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
167,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
97,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
84,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
157,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
169,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
12,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
195,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
164,2,1.1977514223963737,-0.8330394108021674,0.04893214434369433,2
103,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
143,2,-1.2435347689984542,-0.8330394108021674,-1.1791075520068202,0
213,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
97,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
194,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
126,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
127,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
206,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
113,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
140,2,-0.022891673301040322,-0.8330394108021674,-0.5650877038315629,2
123,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
128,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
187,4,-1.2435347689984542,1.249559116203251,-0.8720976279191915,0
158,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
102,3,-0.022891673301040322,0.4165197054010837,-0.0124698404738314,1
157,3,1.1977514223963737,0.4165197054010837,0.9699619166065803,1
131,4,1.1977514223963737,1.249559116203251,1.5839817647818375,1
69,4,-0.022891673301040322,1.249559116203251,0.355942068431323,1
